frame_id,car,plate,plate_text,score
1,"[380.86, 686.85, 717.56, 987.82]","[475.92, 889.94, 594.02, 922.46]",MAIJNRU,0.5294080895892815
3,"[378.69, 692.44, 713.06, 998.1]","[473.12, 898.2, 600.22, 929.61]",NAIJNRU,0.5324598839832855
4,"[375.8, 695.51, 711.73, 1003.85]","[472.58, 900.73, 598.39, 937.9]",N4IJMFU,0.423904624579682
5,"[373.29, 697.07, 710.78, 1008.62]","[465.44, 904.77, 598.44, 939.78]",NAIJNRU,0.5684081884244009
7,"[368.5, 702.04, 708.9, 1018.49]","[476.58, 914.37, 598.76, 949.31]",NAIJMRU,0.38319086321948886
11,"[359.75, 714.41, 703.64, 1031.74]","[451.19, 929.77, 598.43, 976.89]",NAIJMRV,0.34652308112850194
13,"[354.76, 722.44, 699.6, 1042.66]","[459.41, 936.48, 598.18, 975.62]",MAIJNRU,0.7294908190690556
15,"[350.69, 729.48, 697.35, 1052.41]","[462.77, 949.65, 591.1, 978.58]",NAIJNRU,0.7355439100977719
16,"[349.22, 734.3, 696.79, 1057.91]","[467.04, 949.81, 580.38, 984.64]",NMIJNRU,0.4330149892266696
17,"[346.95, 736.88, 696.25, 1061.4]","[432.47, 948.95, 583.71, 998.47]",NAI3NRU,0.33847214879785376
19,"[341.45, 743.85, 693.6, 1069.92]","[439.6, 960.22, 569.93, 995.05]",NAIJNRU,0.7851331829982628
20,"[340.04, 745.95, 693.37, 1072.38]","[442.16, 964.22, 582.57, 1001.53]",NAIJNRU,0.4478255431519735
21,"[338.12, 748.56, 692.04, 1074.04]","[451.24, 973.13, 574.25, 1004.42]",NAI3NRU,0.5200512070914253
22,"[336.44, 753.94, 691.61, 1077.79]","[436.46, 977.48, 564.58, 1010.81]",NAIJNRU,0.6096909341661118
23,"[334.84, 757.18, 691.64, 1080.4]","[424.69, 979.78, 572.83, 1016.58]",MAIJMRU,0.8463369486607177
25,"[592.71, 541.4, 865.12, 757.95]","[687.87, 683.4, 762.01, 707.12]",6415GLJ,0.4541301336629113
29,"[323.78, 774.44, 687.32, 1083.48]","[432.51, 1006.49, 560.86, 1041.44]",NAIJMRU,0.6944657094528454
30,"[322.49, 779.24, 686.96, 1084.71]","[436.56, 1013.78, 564.99, 1047.02]",XAIJMRU,0.512354915753037
